index,song,year,artist,genre,lyrics
0,ego-remix,2009,beyonce-knowles,Pop,"Oh baby, how you doing?
You know I'm gonna cut right to the chase
Some women were made but me, myself
I like to think that I was created for a special purpose
You know, what's more special than you? You feel me
It's on baby, let's get lost
You don't need to call into work 'cause you're the boss
For real, want you to show me how you feel
I consider myself lucky, that's a big deal
Why? Well, you got the key to my heart
But you ain't gonna need it, I'd rather you open up my body
And show me secrets, you didn't know was inside
No need for me to lie
It's too big, it's too wide
It's too strong, it won't fit
It's too much, it's too tough
He talk like this 'cause he can back it up
He got a big ego, such a huge ego
I love his big ego, it's too much
He walk like this 'cause he can back it up
Usually I'm humble, right now I don't choose
You can leave with me or you could have the blues
Some call it arrogant, I call it confident
You decide when you find on what I'm working with
Damn I know I'm killing you with them legs
Better yet them thighs
Matter a fact it's my smile or maybe my eyes
Boy you a site to see, kind of something like me
It's too big, it's too wide
It's too strong, it won't fit
It's too much, it's too tough
I talk like this 'cause I can back it up
I got a big ego, such a huge ego
But he love my big ego, it's too much
I walk like this 'cause I can back it up
I, I walk like this 'cause I can back it up
I, I talk like this 'cause I can back it up
I, I can back it up, I can back it up
I walk like this 'cause I can back it up
It's too big, it's too wide
It's too strong, it won't fit
It's too much, it's too tough
He talk like this 'cause he can back it up
He got a big ego, such a huge ego, such a huge ego
I love his big ego, it's too much
He walk like this 'cause he can back it up
Ego so big, you must admit
I got every reason to feel like I'm that bitch
Ego so strong, if you ain't know
I don't need no beat, I can sing it with piano"
2,honesty,2009,beyonce-knowles,Pop,"If you search
For tenderness
It isn't hard to find
You can have the love
You need to live
But if you look
For truthfulness
You might just
As well be blind
It always seems to be
So hard to give
Chorus:
Honesty
Is such a lonely word
Everyone is so untrue
Honesty
Is hardly ever heard
And mostly
What I need from you
I can always
Find someone
To say
They sympathize
If I wear my heart
Out on my sleeve
But I don't want
Some pretty face
To tell me
Pretty lies
All I want
Is someone
To believe
(Chorus)
I can find a lover
I can find a friend
I can have security
Until the bitter end
Anyone can comfort me
With promises again
I know, I know
When I'm deep
Inside of me
Don't be
Too concerned
I won't ask
For nothin'
While I'm gone
But when I want
Sincerity
Tell me where else
Can I turn
When
You're the one
That I depend upon
(Chorus)"
3,you-are-my-rock,2009,beyonce-knowles,Pop,"Oh oh oh I, oh oh oh I
[Verse 1:]
If I wrote a book about where we stand
Then the title of my book would be ""Life with Superman""
That's how you make me feel I count you as a privilege
This love is so ideal
I'm honored to be in it
I know you feel the same I see it everyday
In all the things you do
In all the things you say
[Chorus:]
You are my rock
Baby you're the truth
You are my rock
I love to rock with you
You are my rock
You're everything I need
You are my rock
So baby rock with me
I wanna kiss ya, feel ya, please ya just right
I wanna touch ya, love ya, baby all night
Reward ya, for all the things you do
You are my rock
I love to rock with you
I love to rock with you
Oh oh oh I
[Verse 2:]
If I were to try to count the ways
You make me smile
I'd run out of fingers
Before I run out of timeless things to talk about
Sugar you keeps it going on
Make me wanna keep my lovin strong
Make me wanna try my best
To give you what you want and what you need
Give you my whole heart, not just a little piece
More than a minimum,
I'm talking everything
More than a single wish,
I'm talking every dream
[Chorus:]
You are my rock
Baby you're the truth
You are my rock
I love to rock with you
You are my rock
You're everything I need
You are my rock
So baby rock with me
I wanna kiss ya, feel ya, please ya just right
I wanna touch ya, love ya, baby all night
Reward ya, for all the things you do
You are my rock
I love to rock with you
I wanna rock with you
[Bridge:]
If there's options I don't want them
They're not worth my time
Cause if it's not you, oh no thank you I like us just fine
You're a rock in the sand
You're a smile in a cry
You're my joy through the pain
You're the truth through the lies
No matter what I do I know that I can count on you
Oh oh oh I, oh oh oh I
[Chorus:]
You are my rock
Baby you're the truth
You are my rock
I love to rock with you
You are my rock
You're everything I need
You are my rock
So baby rock with me
I wanna kiss ya, feel ya, please ya just right
I wanna touch ya, love ya, baby all night
Reward ya, for all the things you do
You are my rock
I love to rock with you
I love to rock with you
Oh oh oh I, oh oh oh I
I wanna kiss ya, feel ya, please ya just right
I wanna touch ya, love ya, baby all night
Reward ya, for all the things you do
You are my rock
I love to rock with you
I wanna rock with you"
4,black-culture,2009,beyonce-knowles,Pop,"Party the people, the people the party it's popping no sitting around,
I see you looking you looking I see you I look at what you started now
Let's hook up little one on one up come on give some of the that stuff,
Let me freshin' it with no ruff (let's go)
Let's hook up when we start we won't stop,
Baby, baby don't stop come on give me some of that stuff (let's go)
I am, Black Culture
I am, Black Culture
I am, Black Culture
I am, Black Culture
Party the people, the people the party, it's popping no sitting around,
I see you looking you looking I see you I look at what you started now
Let's hook up come one give some of the that stuff,
Let me freshin' it up little one on one with no ruff (let's go)
Let's hook up, when we start we won't stop,
Baby, baby don't stop come on give me some of that stuff (let's go)
You are, Black Culture
You are, Black Culture
You are, Black Culture
You are, Black Culture
Let's hook up come on give some of the that stuff,
Let me freshin' it up little one on one with no ruff (let's go)
Let's hook up, when we start we won't stop,
Baby, baby don't stop come on give me some of that stuff (let's go)
Let's hook up come on give some of the that stuff, Let me freshin' it up little one on one with no ruff (let's go) Let's hook up, when we start we won't stop, Baby, baby don't stop come on give me some of that stuff (let's go)
We are, Black Culture
We are, Black Culture
We are, Black Culture
We are, Black Culture
We are, Black Culture
We are, Black Culture
We are, Black Culture
We are, Black Culture"
5,all-i-could-do-was-cry,2009,beyonce-knowles,Pop,"I heard
Church bells ringing
I heard
A choir singing
I saw my love
Walk down
The aisle
On her finger
He placed a ring
Oooh, oh
I saw them
Holding hands
She was
Standing there
Wwith my man
I heard
Them promise
Til death do
Us part
Each word
Was a pain
In my heart
All I could do
All I could do
Was cry
All I could do
Was cry
I was
Losing the man
That I love
And all
I could do
Was cry
And now
The wedding
Is over
The rice, rice
Has been
Thrown over
Their heads
For them life
Has just begun
But mine
Is ending
Ooh
All I could do
All I could do
Was cry
All I could do
Was cry
I was losing
The man
That I love
And all
I could do
Was cry"
6,once-in-a-lifetime,2009,beyonce-knowles,Pop,"This is just another day that I would spend
Waitin' for the right one.
Staring at the night and wishin' I could be the one
To feel the warm sun.
You're a dream, but I'm wide awake
I'm in Heaven, for heaven sakes
So get ready, (get ready) I'm ready now (get ready)
I could never need you more than now
You were worth waiting for
You the one that I adore
Hold on to me tight
For once in my life
You were worth waiting for
You the one that I adore
This kind of love you'll only find
Once in a lifetime, once in a lifetime
Tell me that your living in a place
Where no one else can find you.
Tell me that your sanging out my name,
Hoping that I'll hear you.
Tell me ""No"" and I'll fade away,
But this is lovin that I won't waste
So get ready, (get ready) I'm ready now (get ready)
I could never need you more than now
You were worth waiting for
You the one that I adore
hold on to me tight
For once in my life
You were worth waiting for
You the one that I adore
This kind of love you'll only find
Once in a lifetime, once in a lifetime
What are the words, I'm needin' to hear
How do I know if I'll ever love again
Seeing your face makes everything clear (clear) clear
And I will never be the same
You were worth waiting for
You the one that I adore
hold on to me tight
For once in my life
You were worth waiting for
You the one that I adore
This kind of love you'll only find
Once in a lifetime, once in a lifetime"
7,waiting,2009,beyonce-knowles,Pop,"Waiting, waiting, waiting, waiting
Waiting, waiting, waiting, waiting
Waiting, waiting, waiting, waiting ooh
Waiting, waiting, waiting, waiting
It's 6 o'clock
and seconds feel like hours as I sit here
and watch them tick away
And just the thought
of seeing you again I wanna sing
I've been longing for this day
I'll be waiting
'cause I cant smile untill I see your smile
I'll be waiting
there's nothing else that I would rather do
I'll be waiting
'cause I can't sleep until I hear your heart
I'll be waiting
'cause patiently I'll wait right here for you
Waiting, waiting, waiting, waiting
Patiently I'll wait right here for you
Waiting, waiting, waiting, waiting
Patiently I wait
It's 12 am
the crowd is getting thin but it's okay
'cause I ain't here for them
No no no
And I refuse
to move from where I am
until I feel your heart
pressed against mine again
I'm waiting!
I'll be waiting
'cause I cant smile until I see your smile
I'll be waiting
there's nothing else that I would rather do
I'll be waiting
'cause I can't sleep until I hear your heart
I'll be waiting
'cause patiently I'll wait right here for you
I don't care how long it takes
I don't mind I'm alright I'll sit and wait
'til the sun comes down and rise
and come right back up again
You're the best thing that's happened in my life
When your aps in the bar is in my life
and it just aint right
So take as long as you like
I'm waiting
Waiting, waiting, waiting, waiting (4x)
I'm waiting
I'll be waiting
I cant smile until I see your smile
I'll be waiting
There's nothing else that I would rather do
I'll be waiting
'cause I can't sleep until I hear your heart
I'll be waiting
'cause patiently I'll wait right here for you
I'll be waiting
I can't sleep until I hear your heart
I'll be waiting
There's nothing else that I would rather do
I'll be waiting
'cause I can't sleep until I hear your heart
I'll be waiting
'cause patiently I wait right here for you
Waiting, waiting, waiting, waiting
Patiently I wait right here for you
Waiting, waiting, waiting, waiting
Patiently I wait
Waiting, waiting, waiting, waiting
Waiting, waiting, waiting, waiting"
8,slow-love,2009,beyonce-knowles,Pop,"[Verse 1:]
I read all of the magazines
while waiting around
you said you couldn't wait to see me
but you got stuck in town
so turn off the phone
now we're finally alone
and some moments at the end of the day
feel your touch and it's the sweetest
your kisses are my weakness
i never want them to go away
Chorus:
i wanna feel you in my heart (heart)
as i look into your eyes (eyes)
no need to get busy so lets take our time
and make slow love slow love
and every minute that we have (have)
it goes too fast
wanna show you how to rock it
so this feelin last and
make slow love slow love
slow love slow love slow love all night
Verse 2:
it is just a few little things
that you gotta know
a girl will give you all of her heart
when it's happening slow
i need a little laughter
and love will follow after
lets take this chance to steal away
your kisses are delicious
and no one is gonna miss us
tonight i really want you to stay
Chorus:
i wanna feel you in my heart (heart)
as i look into your eyes (eyes)
no need to get busy so lets take our time
and make slow love slow love
and every minute that we have (have)
it goes too fast
wanna show you how to rock it
so this feelin last and
make slow love slow love
slow love slow love slow love all night
Bridge:
so I'm callin out do you hear my cries?
don't have to say goodbye
your the breath on my skin cherish the taste
it's far too good to go to waste
feel my desire
make sweet love all through
all through the night
make love through the night
Chorus:
i wanna feel you in my heart (heart)
as i look into your eyes (eyes)
no need to get busy so lets take our time
and make slow love slow love
and every minute that we have (have)
it goes too fast
wanna show you how to rock it
so this feelin last and
make slow love slow love
slow love all night
Chorus:
i wanna feel you in my heart (heart)
as i look into your eyes (eyes)
no need to get busy so lets take our time
and make slow love slow love
and every minute that we have (have)
it goes too fast
wanna show you how to rock it
so this feelin last and
make slow love slow love
slow love slow love slow love all night"
9,why-don-t-you-love-me,2009,beyonce-knowles,Pop,"N-n-now, honey
You better sit down and look around
'Cause you must've bumped yo' head
And I love you enough to talk some sense back into you, baby
I'd hate to see you come home
Me, the kids, and the dog is gone
Check my credentials
I give you everything you want, everything you need
Even your friends say I'm a good woman
All I need to know is why?
Why don't you love me?
Tell me, baby, why don't you love me
When I make me so damn easy to love?
And why don't you need me?
Tell me, baby, why don't you need me
When I make me so damn easy to need?
I got beauty, I got class
I got style and I got ass
And you don't even care to care, looka here
I even put money in the bank account
Don't have to ask no one to help me out
You don't even notice that
Why don't you love me?
Tell me, baby, why don't you love me
When I make me so damn easy to love?
Why don't you need me?
Tell me, baby, why don't you need me
When I make me so damn easy to need?
I got beauty, I got heart
Keep my head in them books, I'm sharp
But you don't care to know I'm smart
N-n-n-n-n-no
I got moves in your bedroom
Keep you happy with the nasty things I do
But you don't seem to be in tune, ooh
Why don't you love me?
Tell me, baby, why don't you love me
When I make me so damn easy to love?
Why don't you need me?
Tell me, baby, why don't you need me
When I make me so damn easy to need?
There's nothing not to love about me
No, no, there's nothing not to love about me
I'm lovely, there's nothing not to need about me
No, no, there's nothing not to need about me
Maybe you're just not the one
Or maybe you're just plain dumb"
10,save-the-hero,2009,beyonce-knowles,Pop,"I lay alone awake at night
Sorrow fills my eyes
But I'm not strong enough to cry
Despite of my disguise
I'm left with no shoulder
But everybody wants to lean on me
I guess I'm their soldier
Well, who's gonna be mine?
Who's there to save the hero
When she's left all alone?
And she's crying out for help
Who's there to save the hero?
Who's there to save the girl
After she saves the world?
After she saves the world
I bottle all my hurt inside
I guess I'm living a lie
Inside my mind each day I die
What can bring me back to life?
A simple word, a gesture
Someone to say you're beautiful
Come find this buried treasure
With eyes lead to a pot of gold
Who's there to save the hero
When she's left all alone?
And she's crying out for help
Who's there to save the hero?
Who's there to save the girl
After she saves the world?
After she saves the world
I've given too much of myself
And now it's driving me crazy
(I'm crying out for help)
Sometimes I wish someone would just come here
And save me, save me from myself
Who's there to save the hero
When she's left all alone?
And she's crying out for help
Who's there to save the hero?
Who's there to save the girl
After she saves the world?
After she saves the world"
